"cam_sd","div_shan","ForestType","Forest","Season","Cam_Model","ForestShannon","meanSSDominance","MeanAllDensity","meanAllDominance","NumDeer","RoadDensity50","Aspect50","Slope50","P_Water50","P_Mixed50","P_Deciduous50","P_Forest50","P_Development50","P_Agriculture50","P_Shrub50","P_Herb50","Elevation50"
"C4-SD26",0.661563238,"Pine","WF","Winter","Bushnell HD",1.2,48171.08736,9933.333333,32.48932693,5,0,45,2.02486825,0,14.695341,34.767025,94.623656,0,0,0,0,220
"C9-SD25",0.693147181,"Pine","WF","Winter","Bushnell HD",1.2,48171.08736,9933.333333,32.48932693,1,0.939955613,6.34019089,6.457954884,0,7.706093,48.566308,93.727598,0,0.716846,2.508961,3.405018,255
"C11-SD13",1.113545986,"Deciduous","BC","Winter","Bushnell HD",1.07,72518.43042,33070.83333,26.43346531,7,0,135,1.012750387,7.168459,0.896057,60.573477,85.483871,0,0,3.942652,2.688172,128
"C14-SD22",0.804507271,"Deciduous","DON","Winter","Bushnell HD",1.63,4450.589593,3633.333333,26.53918644,22,0.19934951,325.30484,11.179986,0,11.290323,48.924731,93.010753,0.179211,0,0,0,219
"C15-SD14",0.135793959,"Pine","DEG","Winter","Browning ",0.61,3577.924967,2238.888889,35.65043782,64,0,251.565048,2.263636112,0,1.075269,27.060932,98.387097,0,0,1.612903,0,132
"C18-SD16",0.981941601,"Pine","WHIP","Winter","Browning ",1.45,35473.81705,37979.16667,52.51739898,13,0,26.5650501,3.199601412,0,3.584229,56.810036,95.878136,4.659498,0,0,0,206
"C22-SD18",0.454413145,"Pine","WF","Winter","Bushnell HD",1.2,48171.08736,9933.333333,32.48932693,97,0,300.963745,16.25391769,0,1.25448,98.207885,100.716845,0,0,0,0,231
"C23-SD3",0.904996116,"Deciduous","SH","Winter","Bushnell HD",1.71,32724.92347,7550,24.73308483,20,0,288.434937,8.984876633,1.25448,2.150538,58.960573,76.702509,0,0,0,0,126
"C24-SD4",0.436162325,"Deciduous","BC","Winter","Bushnell HD",1.07,72518.43042,33070.83333,26.43346531,16,0.469279342,315,1.012750387,9.856631,0.358423,62.903226,86.738352,0,0,0,0,255
"C25-SD9",1.565445107,"Deciduous","SH","Winter","Browning ",1.71,32724.92347,7550,24.73308483,7,0,231.340195,9.094640732,0,0,73.835125,74.372759,0,0,0.896057,1.971326,113
"C27-SD8",0.79631164,"Deciduous","DON","Winter","Browning ",1.63,4450.589593,3633.333333,26.53918644,5,0.054430636,315,1.012750387,1.25448,3.225806,31.72043,86.559139,0,0,0,2.150538,256
"C29-SD19",0.204033461,"Pine","DEG","Winter","Bushnell HD",0.61,3577.924967,2238.888889,35.65043782,148,0,315,4.044691086,5.376344,0,90.143369,90.143369,0,0,2.150538,0,142
"C31-SD6",0.752916809,"Pine","WHIP","Winter","Bushnell HD",1.45,35473.81705,37979.16667,52.51739898,4,0,0,2.8624053,1.971326,2.508961,32.97491,94.982079,0,0,1.612903,1.433692,125
"C32-SD17",0.425227591,"Pine","WHIP","Winter","Browning ",1.45,35473.81705,37979.16667,52.51739898,18,0,23.19859,5.438007832,8.960573,1.792115,35.125448,87.096774,0,0,1.612903,0,121
"C33-SD1",1.002204018,"Pine","WF","Winter","Browning ",1.2,48171.08736,9933.333333,32.48932693,47,0,349.69516,15.61612988,3.942652,0,93.727599,94.265233,0,0,0,0,195
"C2-SD42",0.663179453,"Pine","WHIP","Spring","Bushnell HD",1.45,35473.81705,37979.16667,52.51739898,18,0.729647265,315,1.012750387,6.272401,0,16.487455,82.616487,0,0,1.612903,0,251
"C3-SD7",0,"Deciduous","SH","Spring","Bushnell HD",1.71,32724.92347,7550,24.73308483,28,0,166.429565,20.45103073,1.612903,0,81.003584,81.003584,0,0,0,0,145
"C4-SD36",0.437494957,"Pine","WF","Spring","Browning ",1.2,48171.08736,9933.333333,32.48932693,29,1.053959516,108.434952,8.984876633,1.075269,2.867384,84.946237,87.813621,0,0,0,0,279
"C8-SD11",0,"Pine","DEG","Spring","Bushnell HD",0.61,3577.924967,2238.888889,35.65043782,5,1.542222632,315,1.012750387,0,0,58.602151,84.408603,4.301075,0,2.867384,0,199
"C14-SD5",1.011404265,"Deciduous","DON","Spring","Bushnell HD",1.63,4450.589593,3633.333333,26.53918644,2,1.610240456,225,1.012750387,0,0.537634,24.551971,86.021505,0,0,8.064516,1.971326,254
"C15-SD35",0.801818553,"Pine","DEG","Spring","Browning ",0.61,3577.924967,2238.888889,35.65043782,7,0.661620612,333.434937,6.379370213,0,0.896057,58.422939,77.060931,2.867384,0,0,0,99
"C18-SD40",1.054850691,"Pine","WHIP","Spring","Bushnell HD",1.45,35473.81705,37979.16667,52.51739898,42,0,293.962494,13.83230305,0,3.942652,96.057348,100,0,0,0,0,223
"C21-SD1",0.348832096,"Deciduous","DON","Spring","Bushnell HD",1.63,4450.589593,3633.333333,26.53918644,8,0,265.601288,9.256682396,16.129032,0,57.885305,71.505377,0,0,3.046595,0,122
"C22-SD31",0.74078806,"Pine","WF","Spring","Bushnell HD",1.2,48171.08736,9933.333333,32.48932693,60,0.267861281,90,14.03624344,4.480287,0,67.02509,77.240144,1.433692,0,13.082437,3.763441,121
"C23-SD16",0.63903186,"Deciduous","SH","Spring","Bushnell HD",1.71,32724.92347,7550,24.73308483,8,0,225,1.012750387,0,13.620072,31.003584,75.985663,0,0,0.537634,0,231
"C25-SD6",0.376770161,"Deciduous","SH","Spring","Browning ",1.71,32724.92347,7550,24.73308483,7,0,225,1.012750387,0,1.075269,28.136201,99.283155,0,0,1.612903,0,132
