"Julian","date","Day","Month","Year","Illumination"
1,"1-Jan-2023",1,"Jan",2023,0.76
2,"2-Jan-2023",2,"Jan",2023,0.68
3,"3-Jan-2023",3,"Jan",2023,0.59
4,"4-Jan-2023",4,"Jan",2023,0.5
5,"5-Jan-2023",5,"Jan",2023,0.4
6,"6-Jan-2023",6,"Jan",2023,0.3
7,"7-Jan-2023",7,"Jan",2023,0.22
8,"8-Jan-2023",8,"Jan",2023,0.14
9,"9-Jan-2023",9,"Jan",2023,0.07
10,"10-Jan-2023",10,"Jan",2023,0.02
11,"11-Jan-2023",11,"Jan",2023,0
12,"12-Jan-2023",12,"Jan",2023,0.01
13,"13-Jan-2023",13,"Jan",2023,0.04
14,"14-Jan-2023",14,"Jan",2023,0.1
15,"15-Jan-2023",15,"Jan",2023,0.19
16,"16-Jan-2023",16,"Jan",2023,0.29
17,"17-Jan-2023",17,"Jan",2023,0.4
18,"18-Jan-2023",18,"Jan",2023,0.51
19,"19-Jan-2023",19,"Jan",2023,0.62
20,"20-Jan-2023",20,"Jan",2023,0.72
21,"21-Jan-2023",21,"Jan",2023,0.8
22,"22-Jan-2023",22,"Jan",2023,0.88
23,"23-Jan-2023",23,"Jan",2023,0.94
24,"24-Jan-2023",24,"Jan",2023,0.98
25,"25-Jan-2023",25,"Jan",2023,1
26,"26-Jan-2023",26,"Jan",2023,1
27,"27-Jan-2023",27,"Jan",2023,0.98
28,"28-Jan-2023",28,"Jan",2023,0.94
29,"29-Jan-2023",29,"Jan",2023,0.89
30,"30-Jan-2023",30,"Jan",2023,0.83
31,"31-Jan-2023",31,"Jan",2023,0.75
32,"1-Feb-2023",1,"Feb",2023,0.67
33,"2-Feb-2023",2,"Feb",2023,0.58
34,"3-Feb-2023",3,"Feb",2023,0.48
35,"4-Feb-2023",4,"Feb",2023,0.38
36,"5-Feb-2023",5,"Feb",2023,0.28
37,"6-Feb-2023",6,"Feb",2023,0.19
38,"7-Feb-2023",7,"Feb",2023,0.11
39,"8-Feb-2023",8,"Feb",2023,0.05
40,"9-Feb-2023",9,"Feb",2023,0.01
41,"10-Feb-2023",10,"Feb",2023,0
42,"11-Feb-2023",11,"Feb",2023,0.02
43,"12-Feb-2023",12,"Feb",2023,0.08
44,"13-Feb-2023",13,"Feb",2023,0.15
45,"14-Feb-2023",14,"Feb",2023,0.24
46,"15-Feb-2023",15,"Feb",2023,0.35
47,"16-Feb-2023",16,"Feb",2023,0.46
48,"17-Feb-2023",17,"Feb",2023,0.56
49,"18-Feb-2023",18,"Feb",2023,0.66
50,"19-Feb-2023",19,"Feb",2023,0.76
51,"20-Feb-2023",20,"Feb",2023,0.84
52,"21-Feb-2023",21,"Feb",2023,0.9
53,"22-Feb-2023",22,"Feb",2023,0.95
54,"23-Feb-2023",23,"Feb",2023,0.98
55,"24-Feb-2023",24,"Feb",2023,1
56,"25-Feb-2023",25,"Feb",2023,1
57,"26-Feb-2023",26,"Feb",2023,0.97
58,"27-Feb-2023",27,"Feb",2023,0.94
59,"28-Feb-2023",28,"Feb",2023,0.88
60,"29-Feb-2023",29,"Feb",2023,0.82
61,"1-Mar-2023",1,"Mar",2023,0.74
62,"2-Mar-2023",2,"Mar",2023,0.65
63,"3-Mar-2023",3,"Mar",2023,0.55
64,"4-Mar-2023",4,"Mar",2023,0.44
65,"5-Mar-2023",5,"Mar",2023,0.34
66,"6-Mar-2023",6,"Mar",2023,0.24
67,"7-Mar-2023",7,"Mar",2023,0.15
68,"8-Mar-2023",8,"Mar",2023,0.07
69,"9-Mar-2023",9,"Mar",2023,0.02
70,"10-Mar-2023",10,"Mar",2023,0
71,"11-Mar-2023",11,"Mar",2023,0.01
72,"12-Mar-2023",12,"Mar",2023,0.05
73,"13-Mar-2023",13,"Mar",2023,0.12
74,"14-Mar-2023",14,"Mar",2023,0.2
75,"15-Mar-2023",15,"Mar",2023,0.3
76,"16-Mar-2023",16,"Mar",2023,0.4
77,"17-Mar-2023",17,"Mar",2023,0.5
78,"18-Mar-2023",18,"Mar",2023,0.61
79,"19-Mar-2023",19,"Mar",2023,0.7
80,"20-Mar-2023",20,"Mar",2023,0.78
81,"21-Mar-2023",21,"Mar",2023,0.86
82,"22-Mar-2023",22,"Mar",2023,0.92
83,"23-Mar-2023",23,"Mar",2023,0.96
84,"24-Mar-2023",24,"Mar",2023,0.99
85,"25-Mar-2023",25,"Mar",2023,1
86,"26-Mar-2023",26,"Mar",2023,0.99
87,"27-Mar-2023",27,"Mar",2023,0.97
88,"28-Mar-2023",28,"Mar",2023,0.92
89,"29-Mar-2023",29,"Mar",2023,0.86
90,"30-Mar-2023",30,"Mar",2023,0.79
91,"31-Mar-2023",31,"Mar",2023,0.7
92,"1-Apr-2023",1,"Apr",2023,0.6
93,"2-Apr-2023",2,"Apr",2023,0.49
94,"3-Apr-2023",3,"Apr",2023,0.38
